state,crop,season,N,P,K,pH,water_requirement,soil,temperature_c,irrigation_method,input_cost_per_ha,yield_q_ha
Andhra Pradesh,Banana,Whole Year,197,48,306,7.2,1448,Alluvial,19-29,Flood,74843.74,484.93410000000006
Andhra Pradesh,Banana,Whole Year,206,52,343,7.2,1417,Alluvial,18-31,Flood,76587.46,510.675
Andhra Pradesh,Banana,Whole Year,179,47,293,6.9,1464,Alluvial,21-27,Flood,74607.86,498.8153
Andhra Pradesh,Banana,Whole Year,185,47,306,6.9,1481,Red,22-28,Flood,73729.78,409.5801
Andhra Pradesh,Banana,Whole Year,193,47,330,7.0,1612,Red,24-28,Flood,74887.16,382.2089
Andhra Pradesh,Banana,Whole Year,159,45,309,6.9,1386,Red,24-30,Flood,73022.55,392.4058
Andhra Pradesh,Brinjal,Kharif,107,53,48,6.5,470,Alluvial,21-26,Rainified,49613.74,234.7082
Andhra Pradesh,Brinjal,Kharif,123,55,44,6.4,430,Alluvial,21-25,Rainified,49896.69,239.0249
Andhra Pradesh,Brinjal,Kharif,100,55,46,6.6,468,Alluvial,19-28,Rainified,48089.31,216.0239
Andhra Pradesh,Brinjal,Kharif,92,53,53,6.4,533,Red,19-26,Rainified,48024.41,185.1283
Andhra Pradesh,Brinjal,Kharif,95,59,51,6.6,497,Red,19-26,Rainified,49015.61,170.8037
Andhra Pradesh,Brinjal,Kharif,91,48,59,6.4,523,Red,21-27,Rainified,48845.97,172.9313
Andhra Pradesh,Brinjal,Kharif,105,53,52,6.4,544,Black,20-29,Rainified,48806.67,194.3077
Andhra Pradesh,Brinjal,Kharif,100,59,59,6.0,536,Black,18-29,Rainified,49409.13,205.745
Andhra Pradesh,Brinjal,Kharif,91,49,48,6.0,552,Black,18-27,Rainified,48791.2,191.5582
Andhra Pradesh,Brinjal,Rabi,92,48,50,6.0,474,Alluvial,23-28,Drip,68315.48,234.7082
Andhra Pradesh,Brinjal,Rabi,91,48,53,6.1,450,Alluvial,23-29,Drip,68110.33,246.577
Andhra Pradesh,Brinjal,Rabi,92,46,54,5.8,463,Alluvial,24-28,Drip,68767.85,232.062
Andhra Pradesh,Brinjal,Rabi,103,50,51,6.4,549,Red,20-26,Drip,68141.63,185.1283
Andhra Pradesh,Brinjal,Rabi,117,45,58,6.8,575,Red,18-25,Drip,67976.03,192.2875
Andhra Pradesh,Brinjal,Rabi,90,44,48,6.3,525,Red,19-28,Drip,68110.93,179.2725
Andhra Pradesh,Brinjal,Rabi,97,49,50,6.0,515,Black,20-29,Drip,68926.33,194.3077
Andhra Pradesh,Brinjal,Rabi,102,55,43,5.9,467,Black,18-27,Drip,69009.12,190.0612
Andhra Pradesh,Brinjal,Rabi,88,50,52,5.8,495,Black,21-28,Drip,68680.95,176.8738
Andhra Pradesh,Chickpea,Rabi,20,36,20,7.5,281,Alluvial,15-26,Sprinkler,36314.51,14.1743
Andhra Pradesh,Chickpea,Rabi,20,41,21,7.8,290,Alluvial,14-26,Sprinkler,37402.38,13.653
Andhra Pradesh,Chickpea,Rabi,19,31,21,7.2,262,Alluvial,14-24,Sprinkler,36190.04,13.12
Andhra Pradesh,Chickpea,Rabi,21,36,19,7.2,313,Black,17-25,Sprinkler,36231.05,11.8752
Andhra Pradesh,Chickpea,Rabi,23,34,21,7.3,301,Black,15-26,Sprinkler,37031.95,12.4152
Andhra Pradesh,Chickpea,Rabi,21,41,18,7.5,330,Black,18-27,Sprinkler,37228.6,12.7149
Andhra Pradesh,Chickpea,Rabi,19,43,20,7.4,327,Red,14-27,Sprinkler,37234.83,10.8174
Andhra Pradesh,Chickpea,Rabi,21,39,19,7.3,312,Red,15-27,Sprinkler,37275.29,11.0148
Andhra Pradesh,Chickpea,Rabi,20,39,20,7.4,300,Red,13-25,Sprinkler,36528.7,11.4401
Andhra Pradesh,Chili,Kharif,107,54,66,6.5,560,Alluvial,21-31,Rainified,48701.97,27.4121
Andhra Pradesh,Chili,Kharif,117,56,75,6.2,520,Alluvial,21-33,Rainified,49879.35,28.0015
Andhra Pradesh,Chili,Kharif,117,55,58,6.7,606,Alluvial,19-30,Rainified,48805.81,26.4213
Andhra Pradesh,Chili,Kharif,97,58,56,6.3,608,Red,22-29,Rainified,49591.24,20.6868
Andhra Pradesh,Chili,Kharif,101,58,51,6.4,589,Red,23-29,Rainified,50047.87,20.0421
Andhra Pradesh,Chili,Kharif,91,59,50,6.1,602,Red,23-30,Rainified,48456.82,22.306
Andhra Pradesh,Chili,Kharif,109,58,57,6.3,654,Black,20-31,Rainified,48414.83,21.5101
Andhra Pradesh,Chili,Kharif,94,52,64,6.6,652,Black,18-33,Rainified,48891.86,22.7609
Andhra Pradesh,Chili,Kharif,124,52,55,6.4,663,Black,19-31,Rainified,48566.56,22.6187
Andhra Pradesh,Chili,Rabi,101,65,64,6.3,624,Alluvial,20-30,Drip,70284.19,27.4121
Andhra Pradesh,Chili,Rabi,111,66,64,6.2,654,Alluvial,20-28,Drip,68483.35,27.7655
Andhra Pradesh,Chili,Rabi,102,71,68,6.2,649,Alluvial,21-30,Drip,69995.05,25.9861
Andhra Pradesh,Chili,Rabi,105,59,56,6.3,650,Red,21-30,Drip,69633.15,20.6868
Andhra Pradesh,Chili,Rabi,108,52,62,6.4,674,Red,21-30,Drip,68953.66,21.5811
Andhra Pradesh,Chili,Rabi,109,52,58,6.2,708,Red,22-32,Drip,67818.07,18.8382
Andhra Pradesh,Chili,Rabi,96,64,60,6.6,621,Black,22-30,Drip,68991.99,21.5101
Andhra Pradesh,Chili,Rabi,86,71,59,6.6,599,Black,20-32,Drip,69767.72,19.7851
Andhra Pradesh,Chili,Rabi,85,65,61,6.4,603,Black,20-32,Drip,69041.41,21.4808
Andhra Pradesh,Coffee,Whole Year,107,101,116,5.3,1811,Laterite,13-23,Drip,117279.6,10.5999
Andhra Pradesh,Coffee,Whole Year,121,88,111,5.2,1688,Laterite,14-22,Drip,116405.71,10.9259
Andhra Pradesh,Coffee,Whole Year,117,103,132,5.3,1928,Laterite,11-22,Drip,116479.73,10.9626
Andhra Pradesh,Coffee,Whole Year,90,102,132,5.3,1808,Red,13-26,Drip,117388.79,8.2423
Andhra Pradesh,Coffee,Whole Year,93,99,124,5.0,1733,Red,14-28,Drip,118865.0,7.5875
Andhra Pradesh,Coffee,Whole Year,82,113,131,5.6,1650,Red,12-25,Drip,118763.24,7.7767
Andhra Pradesh,Coriander,Rabi,43,21,20,6.9,384,Alluvial,17-27,Sprinkler,38368.76,15.4133
Andhra Pradesh,Coriander,Rabi,42,22,22,6.7,383,Alluvial,17-29,Sprinkler,38438.56,15.9958
Andhra Pradesh,Coriander,Rabi,40,24,20,6.6,419,Alluvial,17-26,Sprinkler,38844.35,15.8234
Andhra Pradesh,Coriander,Rabi,42,20,19,7.0,375,Red,15-27,Sprinkler,39317.71,11.9927
